longitude,latitude
-39.834531,-19.574056
-40.731667,-19.673611
-40.731667,-19.673611
-65.391245,-16.971464
-48.189806,-7.104725
-69.769722,6.378333
-69.854444,6.41
-68.854028,5.804833
-74.785556,5.181944
-74.793611,5.3675
-74.793611,5.3675
-68.854028,5.804833
-74.785556,5.181944
-74.793611,5.3675
-68.480306,5.744194
-68.854167,5.804722
-68.83875,5.791139
-74.793611,5.3675
-74.049167,6.494167
-68.839333,5.800139
-72.366944,4.895278
-72.366944,4.895278
-72.366944,4.895278
-74.778889,5.386389
-74.793611,5.3675
-68.89125,5.803417
-61.23144,10.58664
-68.473694,5.743972
-68.488056,5.752306
-68.480472,5.744806
-75.054285,9.156408
-61.23144,10.58664
-68.5025,5.720556
-61.22897,10.5822
-60.575775,11.313927
-54.75141,-20.538759
-54.876669,-20.759263
-71.48194,5.91234
-71.484064,5.943836
-73.03817,4.20319
-71.496822,5.908142
-73.03531,4.19746
-71.486578,5.934747
-71.481939,5.912339
-73.02831,4.19697
-71.484939,5.944064
-71.460836,5.930333
-71.497489,5.907761
-71.496822,5.908142
-73.0453,4.21795
-71.496944,5.908056
-71.487136,5.934483
-71.481939,5.912339
-71.486578,5.934747
-71.484381,5.944036
-71.481944,5.912222
-71.528639,6.000222
-71.496822,5.908142
-71.487222,5.934444
-71.879586,5.584564
-71.881722,5.589539
-71.881722,5.589539
-73.1768,4.12862
-73.874833,9.200028
-71.879722,5.584444
-73.829444,9.213889
-71.879586,5.584564
-72.211686,5.794111
-71.881722,5.589539
-71.879722,5.584444
-71.881667,5.589444
-72.503083,2.491806
-71.879586,5.584564
-71.879586,5.584564
-71.564464,6.227583
-71.879586,5.584564
-73.829444,9.213889
-71.881667,5.589444
-71.879722,5.584444
-71.879722,5.584444
-71.879722,5.584444
-73.16365,4.18882
-71.879586,5.584564
-71.879586,5.584564
-73.829306,9.213917
-71.881667,5.589444
-71.879722,5.584444
-71.564444,6.2275
-73.1377,4.17914
-71.879722,5.584444
-73.17633,3.4388
-71.879586,5.584564
-73.829306,9.213917
-71.879722,5.584444
-73.829444,9.213889
-71.881722,5.589539
-71.879722,5.584444
-71.879722,5.584444
-71.776944,6.281944
-71.879586,5.584564
-71.881722,5.589539
-73.47166,3.8764
-71.879722,5.584444
-71.881667,5.589444
-73.17629,3.43883
-73.776278,9.297639
-71.879722,5.584444
-71.879586,5.584564
-71.879586,5.584564
-71.879722,5.584444
-71.879586,5.584564
-71.881722,5.589539
-71.879586,5.584564
-71.879722,5.584444
-71.879722,5.584444
-71.879722,5.584444
-71.881667,5.589444
-71.879586,5.584564
-72.211667,5.794167
-71.879586,5.584564
-71.879722,5.584444
-71.881722,5.589539
-71.879586,5.584564
-71.881667,5.589444
-73.829444,9.213889
-71.776861,6.282028
-73.828944,9.212417
-71.881667,5.589444
-73.875833,9.201111
-71.879586,5.584564
-73.829306,9.213917
-71.879722,5.584444
-71.879586,5.584564
-73.829306,9.213917
-71.564464,6.227583
-71.564464,6.227583
-70.226944,6.008889
-71.564167,6.2275
-71.564189,6.22745
-71.564444,6.2275
-70.226944,6.008889
-71.564189,6.22745
-71.564444,6.2275
-71.564464,6.227583
-70.226944,6.008889
-71.564167,6.2275
-71.564167,6.2275
-71.564444,6.2275
-70.155,6.094444
-71.564189,6.22745
-71.564167,6.2275
-71.564464,6.227583
-71.564167,6.2275
-71.564189,6.22745
-71.564189,6.22745
-71.564444,6.2275
-71.564444,6.2275
-71.564167,6.2275
-71.564444,6.2275
-71.564464,6.227583
-71.568386,6.212872
-71.564167,6.2275
-71.564189,6.22745
-71.564167,6.2275
-71.568333,6.212778
-71.564189,6.22745
-71.568386,6.212872
-71.564444,6.2275
-70.226944,6.008889
-70.155,6.094444
-70.155,6.094444
-70.226944,6.008889
-70.226944,6.008889
-71.564189,6.22745
-71.564167,6.2275
-71.568333,6.212778
-71.564464,6.227583
-71.564189,6.22745
-70.226944,6.008889
-71.564464,6.227583
-71.564444,6.2275
-70.226944,6.008889
-71.564464,6.227583
-71.564444,6.2275
-70.226944,6.008889
-70.155,6.094444
-71.564464,6.227583
-71.564464,6.227583
-70.226944,6.008889
-71.564167,6.2275
-70.155,6.094444
-70.226944,6.008889
-71.564189,6.22745
-71.564444,6.2275
-73.05915,4.19267
-73.22295,4.16297
-73.03531,4.19746
-74.367694,7.115639
-74.354028,7.117417
-73.42569,4.27168
-61.192,10.602
-70.752778,5.156389
-70.752778,5.156389
-70.752778,5.156389
-70.752778,5.156389
-70.752778,5.156389
-70.752778,5.156389
-70.752778,5.156389
-70.752778,5.156389
-70.752778,5.156389
-70.752778,5.156389
-70.752778,5.156389
-71.878611,5.585556
-70.706111,5.6225
-70.686111,5.6225
-71.581667,6.240278
-71.879586,5.584564
-71.879722,5.584444
-71.879444,5.582222
-71.876353,5.583744
-71.875033,5.579769
-70.706111,5.6225
-70.686667,5.623056
-71.581667,6.240278
-70.706111,5.6225
-71.876389,5.583611
-71.879308,5.582303
-71.876389,5.583611
-71.876389,5.583611
-70.686667,5.623056
-71.581728,6.240408
-71.906169,5.570853
-71.879722,5.584444
-70.686667,5.62
-71.879308,5.582303
-70.686667,5.623056
-70.706944,5.620833
-71.879722,5.584444
-71.879308,5.582303
-70.706111,5.6225
-70.229722,6.005556
-71.879586,5.584564
-70.686111,5.6225
-71.879444,5.582222
-70.706111,5.6225
-71.876353,5.583744
-70.706111,5.6225
-71.879722,5.584444
-70.706111,5.6225
-71.879444,5.582222
-70.686667,5.62
-71.865,6.269722
-71.581728,6.240408
-71.581111,6.237778
-70.686667,5.62
-71.581667,6.240278
-70.706111,5.6225
-70.706111,5.6225
-71.906111,5.570833
-70.706111,5.6225
-71.580586,6.240619
-71.879444,5.582222
-70.686667,5.623056
-71.879586,5.584564
-70.706111,5.6225
-71.879308,5.582303
-70.706111,5.6225
-71.879444,5.582222
-71.876353,5.583744
-71.879308,5.582303
-70.686667,5.62
-71.581667,6.240278
-71.581728,6.240408
-71.879722,5.584444
-71.581667,6.240278
-71.878611,5.585556
-71.879308,5.582303
-71.879722,5.584444
-70.229722,6.005556
-70.706111,5.6225
-70.686667,5.62
-70.706111,5.6225
-71.879586,5.584564
-70.706111,5.6225
-71.598922,6.218925
-71.879444,5.582222
-70.706111,5.6225
-71.879722,5.584444
-71.876353,5.583744
-70.706944,5.620833
-71.581175,6.237767
-71.879586,5.584564
-71.876353,5.583744
-71.879586,5.584564
-71.876353,5.583744
-71.878622,5.585425
-70.706944,5.620833
-71.879586,5.584564
-71.876389,5.583611
-71.879722,5.584444
-70.706111,5.6225
-70.686667,5.623056
-71.580556,6.240556
-71.879308,5.582303
-71.864889,6.26975
-71.879586,5.584564
-71.876389,5.583611
-70.706111,5.6225
-71.875033,5.579769
-70.686667,5.62
-70.706944,5.620833
-71.580556,6.240556
-71.879722,5.584444
-70.686667,5.623056
-71.879586,5.584564
-71.581667,6.240278
-70.686111,5.6225
-71.879722,5.584444
-71.879586,5.584564
-71.879722,5.584444
-71.879586,5.584564
-71.581728,6.240408
-71.878622,5.585425
-71.879722,5.584444
-70.706111,5.6225
-71.875,5.579722
-71.876389,5.583611
-71.875,5.579722
-70.686667,5.623056
-71.876389,5.583611
-71.879586,5.584564
-70.706111,5.6225
-70.686667,5.62
-70.229722,6.005556
-71.598889,6.218889
-71.879308,5.582303
-70.706944,5.620833
-70.706111,5.6225
-70.706111,5.6225
-70.686111,5.6225
-71.879722,5.584444
-71.879586,5.584564
-71.879444,5.582222
-71.879444,5.582222
-70.706944,5.620833
-71.879722,5.584444
-70.706111,5.6225
-71.598922,6.218925
-70.686667,5.62
-71.580586,6.240619
-71.879586,5.584564
-71.598889,6.218889
-71.879586,5.584564
-70.706111,5.6225
-71.581728,6.240408
-71.581728,6.240408
-71.879586,5.584564
-71.879722,5.584444
-71.876353,5.583744
-71.879722,5.584444
-71.581111,6.237778
-71.598889,6.219444
-43.850824,-4.385082
-71.581728,6.240408
-71.581667,6.240278
-71.581728,6.240408
-71.581667,6.240278
-71.581728,6.240408
-71.821944,6.356944
-71.821861,6.357028
-71.581667,6.240278
-71.821944,6.356944
-43.850824,-4.385082
-72.503083,2.491806
-71.598831,6.219481
-71.821861,6.357028
-71.581175,6.237767
-74.826111,5.062722
-45.933333,-23.066667
-74.800944,5.151111
-74.8603,5.0689
-74.863139,5.066889
-74.8603,5.0689
-74.804472,5.147694
-74.8631,5.0669
-74.8028,5.1492
-74.802833,5.149222
-74.8009,5.1511
-74.860278,5.068861
-74.8603,5.0689
-74.8603,5.0689
-74.8603,5.0689
-73.328083,4.762944
-74.8261,5.0627
-74.860278,5.068861
-74.860278,5.068861
-74.860278,5.068861
-74.860278,5.068861
-74.8045,5.1477
-74.8603,5.0689
-74.860278,5.068861
-61.610458,10.691677
-51.707361,-20.993472
-42.235,-20.60225
-51.707361,-20.993472
-51.707361,-20.993472
-51.707361,-20.993472
-51.707361,-20.993472
-51.707361,-20.993472
-72.496111,5.382778
-76.8201,8.5381
-77.11445,8.35607
-76.85709,8.61304
-59.524,2.825
-59.524,2.825
-72.3755,5.515917
-59.524,2.825
-59.524,2.825
-59.524,2.825
-59.524,2.825
-59.524,2.825
-59.524,2.825
-59.524,2.825
-74.099131,10.790342
-74.243472,10.898003
-74.234658,10.865314
-74.244892,10.892689
-74.099517,10.789181
-42.235,-20.60225
-74.241078,10.589275
-74.78157,4.65954
-74.779278,4.661167
-74.310133,10.673017
-74.6529,10.303733
-74.77956,4.6596
-71.154722,6.567778
-74.779667,4.661222
-74.656925,10.301119
-74.309389,10.678078
-74.172083,10.537372
-74.243672,10.585858
-74.655875,10.291103
-74.238169,10.587728
-74.316539,10.673281
-74.098517,10.789431
-64.431676,-31.638346
-49.964917,-25.064361
-57.7517,-30.5217
-57.7517,-30.5217
-53.65,-32.3117
-57.7517,-30.5217
-53.65,-32.3117
-53.65,-32.3117
-57.7517,-30.5217
-57.7517,-30.5217
-55.67354,-30.88333
-56.01667,-31.26372
-55.67354,-30.88333
-56.01667,-31.26372
-56.01667,-31.26372
-55.67354,-30.88333
-64.333,-20.7
-54.1,-31.33333
-54.1,-31.33333
-54.1,-31.33333
-48.66667,-27.85
-48.66667,-27.85
-48.66667,-27.85
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.75,-34.7667
-55.765836,-32.522778
-37.41667,-11.41667
-48.4833,-27.6667
-48.4833,-27.6667
-65.4681,-26.8167
-65.4681,-26.8167
-65.4681,-26.8167
-56.0583,-22.6333
-54.106667,-31.331667
-57.32,-26.4
-57.32,-26.4
-57.03,-26.79
-57.32,-26.4
-57.32,-26.4
-58.2963,-26.86771
-64.35,-33.1333
-55.6741,-24.2698
-55.9464,-23.2239
-55.9464,-23.2239
-55.9464,-23.2239
-55.7833,-23.8167
-55.9464,-23.2239
-55.9464,-23.2239
-57.6,-25.47
-48.7667,-27.6833
-48.7667,-27.6833
-48.7667,-27.6833
-48.7667,-27.6833
-48.7667,-27.6833
-48.7667,-27.6833
-48.7667,-27.6833
-48.7667,-27.6833
-48.7667,-27.6833
-48.7667,-27.6833
-48.7667,-27.6833
-48.7667,-27.6833
-48.7667,-27.6833
-48.7667,-27.6833
-56.7667,-25.1667
-56.7667,-25.1667
-49.299722,-28.713333
-49.299722,-28.713333
-49.299722,-28.713333
-49.299722,-28.713333
-49.299722,-28.713333
-49.299722,-28.713333
-46.63,-23.540278
-48.670278,-28.24
-48.670278,-28.24
-43.744722,-19.513611
-46.63,-23.540278
-46.63,-23.540278
-46.63,-23.540278
-46.63,-23.540278
-46.63,-23.540278
-46.56,-23.690278
-64.25,-32.2
-51.2,-30.16323
-46.529722,-23.66
-44.5833,-22.6333
-51.3333,-29.3
-64.25,-32.2
-64.25,-32.2
-58.944167,-26.181389
-46.51667,-23.66667
-46.51667,-23.66667
-50.26667,-29.9
-50.26667,-29.9
-50.26667,-29.9
-46.316667,-23.783333
-49.5667,-28.6667
-49.5667,-28.6667
-58.990002,-27.465045
-58.10148,-27.922366
-60.907812,-32.900559
-64.812164,-31.650988
-60.907812,-32.900559
-58.133447,-25.125824
-58.963755,-31.986206
-64,-23
-54.928379,-27.017782
-60.907812,-32.900559
-58.687124,-34.373824
-65.255272,-34.756711
-64.818801,-31.688825
-54.282452,-25.918967
-60.907812,-32.900559
-58.785538,-30.952122
-60.907812,-32.900559
-59.556889,-35.269592
-60.907812,-32.900559
-64.054945,-32.595775
-61.512344,-35.088165
-61.589723,-32.441393
-64.812164,-31.650988
-61.771439,-29.231714
-61.771439,-29.231714
-60.907812,-32.900559
-58.10148,-27.922366
-60.907812,-32.900559
-53.693267,-26.260181
-58.634528,-34.420483
-60.907812,-32.900559
